VendorNumber,VendorName,Brand,Description,PurchasePrice,actualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio
12546.0,JIM BEAM BRANDS COMPANY,1375.0,Jim Beam,11.5,14.49,750.0,10616.0,122084.0,2244.0,32727.56,16749.54,1767.17,123880.97,-89356.44,-273.0311700597295,0.018380786999115363,0.2680741129058681
3960.0,DIAGEO NORTH AMERICA INC,1380.0,Bulleit 95 Rye,34.05,49.99,1750.0,3585.0,122069.25,358.0,17644.420000000002,13150.34,658.17,257032.07,-104424.83,-591.8292015266015,0.002932761526756329,0.14454434675399416
3960.0,DIAGEO NORTH AMERICA INC,4429.0,Capt Morgan Silver Spicd Rum,17.31,22.99,1750.0,7003.0,121221.93,895.0,20464.05,13432.119999999999,1644.93,257032.07,-100757.87999999999,-492.3652942599339,0.007383152536838838,0.1688147515882646
8673.0,STE MICHELLE WINE ESTATES,8815.0,Ch Ste Michelle Chard Colmbi,6.07,8.99,750.0,19930.0,120975.1,1529.0,16967.71,6003.66,170.99,15919.7,-104007.39000000001,-612.9724635793517,0.012638964547249805,0.14025787124788489
3960.0,DIAGEO NORTH AMERICA INC,3352.0,Ciroc Coconut Vodka,18.79,24.99,750.0,6407.0,120387.53,358.0,9842.42,5196.139999999999,282.08,257032.07,-110545.11,-1123.1496928600893,0.002973729920366337,0.08175614201902805
12546.0,JIM BEAM BRANDS COMPANY,3696.0,Gilbeys Vodka,7.6,10.49,1750.0,15719.0,119464.4,2838.0,29898.62,13295.380000000001,5214.37,123880.97,-89565.78,-299.5649297526107,0.02375603108541122,0.2502722149862218
9815.0,WINE GROUP INC,6349.0,Glen Ellen Chard RSV,4.63,6.99,1500.0,25778.0,119352.14,4618.0,32279.82,9052.050000000001,1037.23,27100.41,-87072.32,-269.74227241663675,0.038692226213958125,0.2704586612355673
3960.0,DIAGEO NORTH AMERICA INC,8111.0,Smirnoff 80 Proof,0.77,0.99,50.0,154832.0,119220.64,27521.0,27245.79,1938.42,1444.49,257032.07,-91974.85,-337.57453903887534,0.23084090137412447,0.22853249236038325
1128.0,BROWN-FORMAN CORP,171.0,Gentleman Jack,36.76,49.99,1750.0,3233.0,118845.08,487.0,24435.13,18186.38,895.37,68601.68,-94409.95,-386.3697471632031,0.004097771653651964,0.20560489336201382
3252.0,E & J GALLO WINERY,14622.0,La Marca Prosecco,8.66,12.99,750.0,13687.0,118529.42,1600.0,22239.0,8802.68,178.79000000000002,61966.91,-96290.42,-432.97999010746884,0.013498758367331925,0.1876243045819342
1392.0,CONSTELLATION BRANDS INC,35472.0,R M Woodbridge Pnt Grigio,5.88,8.99,1500.0,20066.0,117988.08,1810.0,22976.9,9230.880000000001,405.72,79528.99,-95011.18,-413.5073922069556,0.015340532704659657,0.19473916348159917
12546.0,JIM BEAM BRANDS COMPANY,8066.0,DeKuyper Triple Sec,7.13,8.99,1750.0,16505.0,117680.65,2046.0,18626.54,8286.92,3759.46,123880.97,-99054.10999999999,-531.7901768122259,0.017386035852113325,0.15828039698964955
3960.0,DIAGEO NORTH AMERICA INC,2889.0,Buchanans Deluxe 12Yr Scotch,23.07,31.99,750.0,5025.0,115926.75,787.0,25963.13,5377.37,619.68,257032.07,-89963.62,-346.5052942384065,0.006788769632548139,0.2239615101777631
4425.0,MARTIGNETTI COMPANIES,35412.0,Yellow Tail Chard Ausl,5.97,9.99,1500.0,19396.0,115794.12,1361.0,17616.95,7601.13,304.8,144929.24,-98177.17,-557.2881230860052,0.011753619268404994,0.15214028138907226
9552.0,M S WALKER INC,3769.0,Jenkins Vodka,7.02,9.49,1750.0,16404.0,115156.08,4639.0,42084.61,13208.48,8522.99,55551.82,-73071.47,-173.62990889068476,0.04028445567094677,0.36545712566804983
11567.0,CAMPARI AMERICA,8107.0,Wild Turkey 101,26.71,36.99,1750.0,4279.0,114292.09,534.0,20869.66,14546.28,981.6800000000001,20964.81,-93422.43,-447.6471106860389,0.004672239347447404,0.18259933823941799
3960.0,DIAGEO NORTH AMERICA INC,8506.0,Myers Original Dark Rum,21.42,29.99,1750.0,5324.0,114040.08,888.0,29295.120000000003,13789.820000000002,1631.79,257032.07,-84744.95999999999,-289.28012583665804,0.007786736031753047,0.25688442168753306
8112.0,MOET HENNESSY USA INC,821.0,Grand Marnier,27.99,38.99,1000.0,4030.0,112799.7,423.0,16492.77,11502.050000000001,444.15000000000003,48347.26,-96306.93,-583.9342330002783,0.0037500099734307803,0.14621288886406614
12546.0,JIM BEAM BRANDS COMPANY,273.0,Sauza Extra Gold Tequila,17.31,21.99,1750.0,6462.0,111857.22,610.0,14038.9,8865.15,1121.2,123880.97,-97818.32,-696.7662708616773,0.005453380657949482,0.1255073208506344
3252.0,E & J GALLO WINERY,33149.0,Alamos Ridge Malbec Mendoza,4.79,8.99,750.0,23062.0,110466.98,3416.0,33744.840000000004,10210.62,382.42,61966.91,-76722.13999999998,-227.3596200189421,0.030923267749331067,0.3054744503742205
17035.0,PERNOD RICARD USA,2756.0,Jameson Caskmates,22.89,29.99,750.0,4797.0,109803.33,737.0,22102.629999999997,15744.75,580.84,123780.22,-87700.70000000001,-396.7885269762016,0.006712000446616692,0.20129289339403456
1392.0,CONSTELLATION BRANDS INC,3804.0,Svedka Vodka,7.63,12.99,750.0,14141.0,107895.83,3201.0,31983.99,14121.87,2520.15,79528.99,-75911.84,-237.3432457926606,0.02966750429557843,0.29643397710551
3960.0,DIAGEO NORTH AMERICA INC,3488.0,Tanqueray,15.62,23.99,750.0,6871.0,107325.02,1554.0,34112.46,19878.949999999997,1223.9,257032.07,-73212.56,-214.6211677492623,0.014479382347191736,0.3178425683032717
7245.0,PROXIMO SPIRITS INC.,8473.0,1800 Silver Tequila,24.44,41.99,1750.0,4390.0,107291.59999999999,361.0,14501.390000000001,11367.19,663.67,38994.78,-92790.20999999999,-639.8711433869443,0.0033646622848387017,0.13515867038985346
7245.0,PROXIMO SPIRITS INC.,8472.0,1800 Silver Tequila,14.99,20.99,750.0,7132.0,106908.68,707.0,18491.93,13131.99,557.1800000000001,38994.78,-88416.75,-478.13694946930906,0.006613120655871909,0.1729693978075494
3960.0,DIAGEO NORTH AMERICA INC,4734.0,Capt Morgan Cannon Blast,11.9,16.99,750.0,8929.0,106255.1,828.0,13643.72,8241.019999999999,652.22,257032.07,-92611.38,-678.7839386912075,0.007792567133248192,0.12840531889763407
2561.0,EDRINGTON AMERICAS,1634.0,The Famous Grouse,20.73,29.99,1750.0,5101.0,105743.73,626.0,22035.74,14142.1,1150.56,9654.5,-83707.98999999999,-379.873741476347,0.005919972749211703,0.20838814745801007
3252.0,E & J GALLO WINERY,40545.0,Whitehaven Svgn Bl Marlboro,9.93,14.99,750.0,10646.0,105714.78,1611.0,24148.89,8544.3,180.04,61966.91,-81565.89,-337.76248100844384,0.015239117936016138,0.2284343778608819
12546.0,JIM BEAM BRANDS COMPANY,4269.0,Calico Jack Spiced Rum,9.22,11.99,1750.0,11422.0,105310.84,2050.0,26626.5,14248.03,3766.79,123880.97,-78684.34,-295.51138902972605,0.019466182208783066,0.25283721979617674
10754.0,PERFECTA WINES,43223.0,Ch Beauchene Cotes du Rhone,5.93,8.99,750.0,17588.0,104296.84,1982.0,21328.46,7484.55,221.69,28720.52,-82968.38,-389.0031441557431,0.019003452070072306,0.2044976626329235
2000.0,SOUTHERN WINE & SPIRITS NE,10058.0,F Coppola Dmd Ivry Cab Svgn,9.26,13.99,750.0,11220.0,103897.2,1393.0,20418.03,9344.960000000001,155.27,19016.59,-83479.17,-408.8502661618188,0.013407483551048536,0.19652146544853952
3664.0,WILLIAM GRANT & SONS INC,2398.0,Tullamore Dew,16.4,20.99,750.0,6335.0,103894.0,488.0,12636.119999999999,9768.22,384.71000000000004,30234.420000000002,-91257.88,-722.1985862749009,0.004697095116176103,0.12162511790863764
1392.0,CONSTELLATION BRANDS INC,44208.0,Black Box Pnt Grigio,10.95,16.99,3000.0,9476.0,103762.2,499.0,12072.01,8289.609999999999,224.55,79528.99,-91690.19,-759.5271210013908,0.004809073053578278,0.11634304207119742
3089.0,SIDNEY FRANK IMPORTING CO,812.0,Jagermeister Liqueur,17.03,22.99,1000.0,6068.0,103338.04000000001,1088.0,24747.12,12380.58,1142.4,8549.55,-78590.92000000001,-317.5760250081626,0.010528552699470591,0.23947735025746567
4425.0,MARTIGNETTI COMPANIES,6579.0,J Lohr Riverstone Chard,5.8,8.99,750.0,17695.0,102631.0,7893.0,86492.07,14496.800000000001,886.26,144929.24,-16138.929999999993,-18.659433171156607,0.07690658767818691,0.8427480001169239
3252.0,E & J GALLO WINERY,19848.0,Carnivor Cab Svgn,5.33,9.99,750.0,19242.0,102559.86,1714.0,18570.74,8038.49,191.26000000000002,61966.91,-83989.12,-452.26587631941425,0.016712191299793115,0.18107220505176197
9815.0,WINE GROUP INC,31465.0,Franzia Tap Chard,10.38,15.99,5000.0,9878.0,102533.64,2357.0,38110.43,18956.31,1767.75,27100.41,-64423.21,-169.0435138097366,0.022987577540405275,0.37168708728179356
3664.0,WILLIAM GRANT & SONS INC,5337.0,Drambuie,20.6,27.99,750.0,4977.0,102526.2,951.0,25814.489999999998,15849.169999999998,749.13,30234.420000000002,-76711.70999999999,-297.1653129695764,0.009275677826740873,0.2517843243970809
480.0,BACARDI USA INC,4221.0,Bacardi Gold Rum Traveler,12.94,17.99,1750.0,7920.0,102484.8,1693.0,30457.07,15237.529999999999,3110.96,89286.27,-72027.73000000001,-236.4893602700457,0.016519522895102494,0.2971862168828938
12546.0,JIM BEAM BRANDS COMPANY,4678.0,Courvoisier VS Cognac,16.78,24.99,750.0,6006.0,100780.68000000001,1175.0,27013.25,15771.14,925.69,123880.97,-73767.43000000001,-273.0786928636873,0.011658980669707724,0.2680399655965806
1392.0,CONSTELLATION BRANDS INC,8498.0,R M Woodbridge Svgn Bl Cal,5.84,8.99,1500.0,17128.0,100027.52,1556.0,19977.44,9439.78,348.42,79528.99,-80050.08,-400.7023922985128,0.015555719066113005,0.19971943721087954
